decimallongitude,decimallatitude,scientificname
-73.96739998,40.24125001,Morone saxatilis
-74.19115,39.57823334,Morone saxatilis
-74.15899999999999,39.48993333,Morone saxatilis
-74.24866667,39.42011668,Morone saxatilis
-74.58965003,39.0291,Morone saxatilis
-75.03363333,38.46786668,Morone saxatilis
-75.03733333,38.32061666,Morone saxatilis
-71.39561666,41.43578332,Morone saxatilis
-72.30463333,40.88011665,Morone saxatilis
-72.38398333,40.84526666,Morone saxatilis
-72.53921668,40.79393336,Morone saxatilis
-74.03418334,39.99693336,Morone saxatilis
-74.33803333,39.23065,Morone saxatilis
-71.90653229,41.02091599,Morone saxatilis
-72.30696869,40.89175034,Morone saxatilis
-73.02041626,40.66067886,Morone saxatilis
-71.73391666,41.15111667,Morone saxatilis
-71.825,41.299,Morone saxatilis
-71.571,41.085,Morone saxatilis
-71.472,41.137,Morone saxatilis
-71.875,41.041000000000004,Morone saxatilis
-72.17399999999999,40.943000000000005,Morone saxatilis
-72.055,40.986000000000004,Morone saxatilis
-72.908,40.698,Morone saxatilis
-74.594,38.986999999999995,Morone saxatilis
-74.73,38.836999999999996,Morone saxatilis
-76.29233335,39.19349999,Morone saxatilis
-76.36033335,39.09783333,Morone saxatilis
-76.32533334,39.13233333,Morone saxatilis
-75.98199997,37.75199998,Morone saxatilis
-76.5055,38.65816669,Morone saxatilis
-76.47400001,38.48866666,Morone saxatilis
-76.44200001,38.87199999,Morone saxatilis
-76.49600000000001,38.57483336,Morone saxatilis
-76.47616666,38.67549998,Morone saxatilis
-76.43683332,38.80816669,Morone saxatilis
-76.47250001,38.64016666,Morone saxatilis
-76.48616667,38.65616665,Morone saxatilis
-76.46883332,38.65616665,Morone saxatilis
-76.41166668,38.62249997,Morone saxatilis
-76.2085,38.236999999999995,Morone saxatilis
-76.24283333,38.02466667,Morone saxatilis
-76.209,37.9403333,Morone saxatilis
-76.27116667,38.22433333,Morone saxatilis
-76.22749999,37.71899999,Morone saxatilis
-76.12100000000001,37.23733333,Morone saxatilis
-76.38216667,39.0505,Morone saxatilis
-76.39751666,38.79143333,Morone saxatilis
-76.5114,38.68966668,Morone saxatilis
-76.31116667,39.0745,Morone saxatilis
-76.45263335,38.7752833,Morone saxatilis
-76.46775001,38.60546665,Morone saxatilis
-76.47616666,38.55499999,Morone saxatilis
-76.40316668,38.72249997,Morone saxatilis
-76.42308334,38.96229998,Morone saxatilis
-76.40531667,39.05643333,Morone saxatilis
-76.32150002,39.23656667,Morone saxatilis
-76.39793332,38.95645002,Morone saxatilis
-76.39151665,38.79071668,Morone saxatilis
-76.42493334,38.89041665,Morone saxatilis
-76.4658,38.77211666,Morone saxatilis
-76.34803333,39.07525,Morone saxatilis
-76.34496667,39.11765,Morone saxatilis
